Jawan,2023,No Certificate,169,"Action, Thriller",7.5,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"63,617"
Avatar: The Way of Water,2022,PG-13,192,"Action, Adventure, Fantasy",7.6,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"464,991"
Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"1,221,566"
Ghostbusters,1984,No Certificate,105,"Action, Comedy, Fantasy",7.8,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",Ivan Reitman,"434,123"
Bullet Train,2022,R,127,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,"390,353"
The Gentlemen,2019,R,113,"Action, Crime",7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,"373,572"
Tenet,2020,PG-13,150,"Action, Sci-Fi, Thriller",7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,"565,228"
Desperation Road,2023,R,112,"Action, Thriller",5.8,"A Southern Noir thriller, set in a tough-and-tumble Mississippi town where a woman and her young daughter are caught in the crossfire when whiskey, guns, and the desire for revenge violently intersect.",Nadine Crocker,"1,357"
The Matrix,1999,R,136,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,"1,999,530"
Freddy vs. Jason,2003,R,0,"Action, Horror",5.7,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.",Ronny Yu,"125,183"
Jurassic Park,1993,PG-13,127,"Action, Adventure, Sci-Fi",8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,"1,039,242"
Spy Game,2001,R,126,"Action, Crime, Thriller",7.1,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,Tony Scott,"163,644"
Heat,1995,R,170,"Action, Crime, Drama",8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,"696,952"
Top Gun,1986,No Certificate,109,"Action, Drama",6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,"486,467"
Sicario,2015,R,121,"Action, Crime, Drama",7.7,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,"457,777"
The Darkest Minds,2018,PG-13,104,"Action, Adventure, Drama",5.7,"After a disease kills 98% of children, the survivors develop powers and are declared a threat. 16-year-old Ruby, escapes the government facility and joins a group of rebel teenagers ready to fight the government forces out to get them.",Jennifer Yuh Nelson,"35,069"
Misanthrope,2023,R,119,"Action, Crime, Drama",6.6,Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,Damián Szifron,"28,332"
